Source,Target,Label,Id,Type
beth, freeman, labson,294,
plea deal, total value, put,295,
french laundry case, prized bottles, involved,296,
video duration 00:37 stars, george michael, mourn,297,
public, unpredictable things, do,298,
clumsy caterer, thumb, broke,299,
british caterer, thumb, knocked,300,
brazilian tourist, 300-year old statue, toppled,301,
artist, live art, performs,302,
denver art goer, denver art goer behaviour, blamed,303,
man, protest, staged,304,
ricky mcconnell, stunt, pulled off,305,
mcavoy, john, met,306,
2009 trinca, brick, dedicated,307,
thomas bateman jr, thomas bateman jr, trinca,308,
fike, phone, got,309,
giunta, medal, received,310,
clarence, fike grandfather, hartzell,311,
bruce klein, number, found,312,
fike, dog tags, contained,313,
family, mysterious letter, received,314,
sylvia, reply, received,315,
boys, kinds, tell,316,
watson, report, heard,317,
watson, items, sent,318,
fike, fike, buy,319,
heart fike, medal, reconnects,320,
tribes, kennewick man, call,321,
new law, bones, hand,322,
land, wonderful sound, making,323,
gold light, wonderful sound, making,324,
footage, man, showed,325,
turkish special forces, gallery, killed by,326,
turkish interior ministry, attacker, named,327,
killing, ongoing evacuation deal, throws into,328,
g}lu, \\c c}avu{\\c, insisted,329,
turkish police, area, secure,330,
g}lu career, fantastic highs, saw,331,
russian actions, turks, angered,332,
bullet, turkish russian relation, aims,333,
cost, looting, included,334,
story, fortuitous discovery, includes,335,
dublin artist, potential lead, received,336,
mr, mr, expressed,337,
gun aficionados, rifles, admire,338,
original gunsmiths kids, craft, handcrafted by,339,
police, time, narrowed,340,
volunteers, reward fund, announced,341,
wessner, inquiries, deferred,342,
15th century ghent altarpiece, adoration, has at,343,
breast wound, blood, is,344,
altarpiece, dark, has,345,
scientists, painting, bombard,346,
flemish government, budget, allocated,347,
pascale fraiture, panels, examined,348,
provost, cathedral ghent, bavo,349,
van wakeren," ""ronald van wakerens application""", had,350,
findings, french image analysis firm lumiere technology conclusion, contradict,351,
renowned paintings, mode, include,352,
apollo 11 mission astronauts, 47.5 pounds, collected,353,
carlson, bag history, discovered after,354,
carlson, motion, filed,355,
noorsarai police, one kamlesh yadav, arrested,356,
worshippers, andhra pradesh, traced to,357,
australian arts minister mitch fifield, artefacts, handed over,358,
notorious antique smuggler vaman ghiya, foundation, shook,359,
shady network, new arms, sprung,360,
chargesheet, prominent hitherto unknown indian smuggler, names,361,
thieves, itemthe national maritime museum, took,362,
iraqi security personnel, unique kuwaiti ancient manuscript, seized,363,
freshlyestablished security team, relics trader, lured,364,
piece, stamp, bears,365,
wiener, bronze buddha, bought,366,
email address, email address, enter,367,
high profile new york art dealer, illicit asian objects, sold,368,
wiener, an 11th century baphuon shiva, purchased,369,
one of the more high-profile transactions, sale, involved,370,
doris daughter, records, removed,371,
mother doris wiener, false documentation, provided,372,
three armed robbers, castelvecchio museum, stolen in,373,
particular sale, 239 artifacts, features,374,
tribes, return, seek,375,
1923 stuart, lease, secured,376,
doc stuart, human remains, found,377,
accompanying description, estimated value, lists,378,
president petro poroshenko, 17 paintings, conveyed,379,
people, guard, include,380,
two thieves, golden associates antiques, targeted,381,
video surveillance, couple, shows,382,
store, store policies, reviewing,383,
young artists, young artists, wish for,384,
patna based jain sangh president, shock, expressed,385,
police, miscreants, identified,386,
nazis, family members gallery, taken to,387,
masha mcconaghy, masha, imagined,388,
blockchain, solution, presents,389,
advertising inread, total confidence, had,390,
intimate works, portraits, include,391,
napoleon, napoleon louvre bound stash, assembled,392,
1811 decree, transfer, ordered,393,
opponents, director, accuse,394,
legislative bill, exception, contains,395,
lot, money, have,396,
harp attorney pierre, times, provided,397,
aamd programs, international professionals, include,398,
organization, legislation, supported,399,
difanis, multiple phone calls, return,400,
russia, loans, embargoed,401,
senator pat leahy, principled opposition, had,402,
communist socialist nations, problem, had,403,
schumer, new bill, brought,404,
old, diamond center stone, designed by,405,
william randolph hearst, william hearst, gave,406,
platinum diamond ring, 6 ct, contains,407,
van cleef & arpels platinum 18k gold necklace, fleur de lis center, has,408,
william randolph, rare example, purchased,409,
new orleans police, courtney lether, booked,410,
estimated value, estimated value, make,411,
artist widow, police lether, told,412,
thieves, an estimated $500 million worth, stole,413,
"(""montreals max stern restitution project""", two dutch old masters paintings, recovered,414,
passage, return, complicated,415,
stock, recovery, mark,416,
week restitution, stern estate 14th 15th recoveries, marks,417,
hawai \xa0 ªi national parks, returned items, fielding,418,
local post offices, stolen stones, receive,419,
hawaiian islands, 8.6 million visitors, saw,420,
germany federal crime office, landscape, (image,421,
latest restitutions, total number, bring,422,
malian authorities, red list, unveiled,423,
places, fabled history, have,424,
san francisco home, market, hit,425,
lucky luke brugnara, seven year sentence, serving,426,
ministry, two islamic-era egyptian lamps, received,427,
thieves, thieves, replaced,428,
unesco office, rapid assessment mission, led,429,
thief, pricey piece, swipes,430,
prominent business executive, gift, gave,431,
items, sword scabbard ukrainians, included,432,
crimean museums, three months, have,433,
rarities, hundreds of thousands, command,434,
"(""yesterdays raid""", known members, targeted,435,
libation cups, vessels, drinking,436,
authorities, notorious rathkeale rovers criminal traveller gang, monitoring,437,
fbi, two vincent van gogh paintings, valued,438,
garrett, painting, took,439,
jefferson county grand jury, garrett, indicted,440,
u.s. marshals, garrett, arrested,441,
event, place, took,442,
museum security, fourth 2016 performance, stopped,443,
court, court verdict, deliver,444,
festival, place, took,445,
artists, tented booths, use,446,
isis fighters, ancient city, play,447,
facebook twitter google plusembed isis fighters, ancient city, destroy,448,
recent visit, devastating scale, revealed,449,
yuka tachibana nbc news iraq, thousands of precious objects from yuka tachibana / nbc news iraq national museum and other archaeological sites, lost,450,
isis, iraq hatra archaeological site, damages,451,
department, complaint, filed,452,
district court, forfeiture, seeking,453,
islamic state, ancient syrian city, recaptured,454,
u.s department, stunning sarcophagus, seized,455,
artifact, artifact, make,456,
dozen empires, peninsula, ruled,457,
history, modern governments, bridges,458,
artifacts, ceremonial gold helmet, include,459,
claude cassirer, friends, told,460,
virtual reality, news watch, changing,461,
new york gallery dealer, extensive art collection, sold,462,
baron receipt, virtually, said,463,
museum, numerous antiquities, returned,464,
cassirer family, museum, found,465,
law, breathing room, affords,466,
common law fraud, damages, show,467,
omissions, basis, form,468,
baldwin, written contract, have,469,
buyers, breach, allege,470,
illegal excavation, damage, caused,471,
hollowed burial caves, items, contain,472,
suspects, year prison sentence, face,473,
islamic state fighters, site, recaptured,474,
police, arrest, made,475,
stolen items, world war ii nazi germany war medals, included,476,
spanish government, thyssen bornemisza collection, acquired,477,
sources, price," ""christies bought collectrium in""",478,
concordia university, amicable discussions, had,479,
max, dominion gallery, opened,480,
max, children, have,481,
people, people art, are,482,
carmel police department, carmel police department investigation, continues,483,
work, pencil sketch, include,484,
bill, objects, exempts,485,
ohio collector scott mueller, noland log cabin, bought,486,
manhattan federal court, collector claims, dismissed,487,
fhm exhibition, ways, documents,488,
modern tribes, findings, published,489,
dubai, new home, visit,490,
police, shivlinga, recovered,491,
prices, underground market demand, fueled,492,
historic agreement, called cultural property agreement, marks,493,
egypt, egyptian sarcophagus, shoukry,494,
u.s. immigration and customs enforcement, five illegally smuggled ancient artifacts, repatriated,495,
agency, international fugitive, seeking,496,
hsi new york, nesting sarcophagus, recovered,497,
customs border protection officers, shipment, seized,498,
inch tall egyptian cat statue, specialty, has,499,
images, stir, caused,500,
spokesperson, port, confirmed on,501,
austrian head, france, occupied,502,
expert appraisers, market value, estimated,503,
students, connection, had,504,
somebody, paintings, has,505,
retailers tjx, similar responses, asked if,506,
edwards work, watermarked low resolution, posted,507,
minister," ""cim{\\a}n""", presented at,508,
egyptian embassy, two islamic lamps, received,509,
enany, minister, expressed,510,
stolen sarcophagus, three parts, repatriated,511,
hollande, contribution, announced,512,
iraqi forces, emirati capital, retook,513,
iraqi forces, intricate reliefs, found,514,
france, increasingly strong ties, looted,515,
original music video, people, features,516,
geers, instances, cites,517,
otsuka museum, ability, offers,518,
art lovers, paintings, view,519,
notable projects, sized reproduction, include,520,
tutankhamen replica tomb, authentic musty smell, missing,521,
authentic musty smell, digitally restored panel, features,522,
otsuka museum, limited air conditioning, has,523,
otsuka museum, copy, features,524,
sun, statues, created so,525,
ramses, ramses beard, lose,526,
nazis, power, restituted to,527,
collection, works, included,528,
mosse, estate, bequeathed,529,
family, share, had,530,
prussian cultural heritage foundation, eight works, returned,531,
jewish museum, oil sketch, returned,532,
family members, lawsuit, filed,533,
reuters, background, give,534,
nazi propaganda newspapers, flechtheim picture, used,535,
nazis, control, aryanized,536,
flechtheim wife, suicide, committed,537,
mother, suit, followed,538,
29 members, letter, embroiled in,539,
bavaria, barely a dozen works, returned,540,
"(""five of ustad bismillah khans shehnais""", shehnais, gone,541,
police, arms, recovered,542,
bhosale, support technical guidance, provide,543,
thieves, antique nataraja idol, took,544,
personnel, spot, reached,545,
team, spot, visited,546,
two of his murals, hallowed corridors, adorn,547,
trophies, purpose, serve for,548,
baba, stairs, take,549,
museologist vinod daniel, ausheritage, chairs,550,
museums, director, have,551,
staff, capacity, have,552,
museums, collection development strategy, have,553,
fold, audience, drive,554,
museums, little, incorporating,555,
the 10th century temple, security, lacks,556,
frequent thefts, apathy, exposed,557,
silvestri, twin brother, ricciardi,558,
thief, painting, fished,559,
young lady, scarf, had,560,
media captionclaudia maga, young lady discovery maga, describes,561,
border police, package, made,562,
customs border protection, page, repatriated,563,
"(""todays ceremony""", important stepping stone, marks,564,
ice," more than 7,800 artifacts", returned,565,
forgery, latest academic research, require,566,
ziad al saad, archaeological site, hailed,567,
father zerafa, dominican monastic order, born into,568,
tape, ransom, wanted,569,
worker, small booklet, has,570,
police, helicopter, had,571,
thieves, excellent lawyer, had,572,
father zerafa, book, penned,573,
people, works, launched to,574,
work, place, asked before,575,
distinctive items, sapphire ring, include,576,
watch, hardcastle, have,577,
islamabad, the site six months ago, acquired,578,
american robert mattielli, mary alley, visited,579,
yoon dong-han, rare 14th century goryeo buddhist painting water moon avalokitesvara, purchased,580,
2014 photo, camille pissarro 1897 impressionist masterpiece, shows,581,
circuit court, issue, takes up,582,
cassirer heirs," ""spains thyssen-bornemisza museum""", asked,583,
courtesy, shankbone, commonsdavid,584,
anish, $13.5 million tribeca pad, recommended,585,
baron hans heinrich thyssen bornemisza, painting, bought,586,
detectives, raid, mounted,587,
permission, haul, found,588,
artists, free ports, accept,589,
father, bits, stuff like,590,
regime, arrangements, make,591,
abdelrahman, up to 25 years, face,592,
relics, vast black market, join,593,
amr al-azm, market, describes,594,
local museum curators," museum nearly 2,000-square meter collection", covered,595,
educational scientific cultural organization unesco paris office, syria, tells,596,
idlib ruling coalition, artifacts trade, prohibits,597,
islamic state, attempted invasion, launched,598,
great institutions, great institutions, viewed as,599,
police, two roman lead coffins, recovered,600,
andy, one from an auction house in cirencester and another from a house near melton mowbray, recovered,601,
sotheby catalogue cover, two icons, features,602,
ivanov, contested lots, withdrawn,603,
roxley foley friends, events, observed,604,
fact, striking point, advertisement,605,
