subject,relation,object,subject_type,object_type
federal scientist,links,global warming,NOUN_CHUNK,NOUN_CHUNK
federal scientist,links,global warming,NOUN_CHUNK,NOUN_CHUNK
merchants,singed,merchants wares,NOUN_CHUNK,NOUN_CHUNK
krak de chevaliers,bears,scars,PERSON,NOUN_CHUNK
appetite,created,opening,NOUN_CHUNK,NOUN_CHUNK
one worker,washes down,column head,CARDINAL,NOUN_CHUNK
artist,made,claims,NOUN_CHUNK,NOUN_CHUNK
nga,showed,willingness,NOUN_CHUNK,NOUN_CHUNK
kapoor arrest,speeded up,process,NOUN_CHUNK,NOUN_CHUNK
priests,informed,laxmi narayan mandir committee,NOUN_CHUNK,NOUN_CHUNK
priests,took,silver,NOUN_CHUNK,NOUN_CHUNK
donation box,had,chain,NOUN_CHUNK,NOUN_CHUNK
brooksbank,offering,unspecified reward,NOUN_CHUNK,NOUN_CHUNK
brooksbank,contains,inscription hall,NOUN_CHUNK,NOUN_CHUNK
cannon,estimates that,a hundredweight and a half - the equivalent,NOUN_CHUNK,QUANTITY
key element,includes,removal,NOUN_CHUNK,NOUN_CHUNK
removal,allow,unobstructed view,NOUN_CHUNK,NOUN_CHUNK
moscow's pushkin museum,plans,mega expansion,GPE,NOUN_CHUNK
sebastiano antoci,told,kids,NOUN_CHUNK,NOUN_CHUNK
unit,combats,antiquities trafficking,NOUN_CHUNK,NOUN_CHUNK
1 artwork,wanted,list,CARDINAL,NOUN_CHUNK
police,traced,tomic,NOUN_CHUNK,NOUN_CHUNK
new sign,read,hollyweed,NOUN_CHUNK,NOUN_CHUNK
new sign,read,hollyweed,NOUN_CHUNK,NOUN_CHUNK
high quality global journalism,requires,investment,NOUN_CHUNK,NOUN_CHUNK
select topic,enter,email addressinvalid email sign,NOUN_CHUNK,NOUN_CHUNK
issue,triggered,widespread concern,NOUN_CHUNK,NOUN_CHUNK
art dealers,facing,losses,NOUN_CHUNK,NOUN_CHUNK
today's more complex art market,contains,new players,DATE,NOUN_CHUNK
letter,likened,legal process,NOUN_CHUNK,NOUN_CHUNK
