subject,relation,object,subject_type,object_type
police,detained,mauleshwor,NOUN_CHUNK,NOUN_CHUNK
police team,reached,district,NOUN_CHUNK,NOUN_CHUNK
petitioner,gave,written complaint,NOUN_CHUNK,NOUN_CHUNK
shanmugasundaram,published,serial,NOUN_CHUNK,NOUN_CHUNK
police,arrested,idol wing cid,NOUN_CHUNK,NOUN_CHUNK
samuel p. harn museum,purchased,"75,000 sculpture",NOUN_CHUNK,NOUN_CHUNK
pieces,totaled,"31,500",NOUN_CHUNK,MONEY
harn collection management policy,follows,guidelines,NOUN_CHUNK,NOUN_CHUNK
indian authorities,arrested,father,NOUN_CHUNK,NOUN_CHUNK
idol wing,recovered,incredibly important previously unidentified nataraja,NOUN_CHUNK,NOUN_CHUNK
u.s department,has,67 attach{\'e} offices,NOUN_CHUNK,CARDINAL
cna,await,end,NOUN_CHUNK,NOUN_CHUNK
protective silhouettes,considered to,protective silhouettes,NOUN_CHUNK,NOUN_CHUNK
police,seized,more than 100 antique idols,NOUN_CHUNK,CARDINAL
police,began,search,NOUN_CHUNK,NOUN_CHUNK
seized antiquities unit,impounded,collection,NOUN_CHUNK,NOUN_CHUNK
special investigation team,arrested,baul singer,NOUN_CHUNK,NOUN_CHUNK
toulouse caravaggio painting,make,toulouse caravaggio painting,NOUN_CHUNK,NOUN_CHUNK
temple,had,statues,NOUN_CHUNK,NOUN_CHUNK
locals,chanted,slogans,NOUN_CHUNK,NOUN_CHUNK
district police office,deployed,hundreds of police personnel in the area,NOUN_CHUNK,CARDINAL
ministry,started,investigation,NOUN_CHUNK,NOUN_CHUNK
renowned chandannath temple,upset by,renowned chandannath temple significance,NOUN_CHUNK,NOUN_CHUNK
head,had,crest,NOUN_CHUNK,NOUN_CHUNK
dattatreya idol,weighs,around 30 kg,NOUN_CHUNK,QUANTITY
theft,shocked,students,NOUN_CHUNK,NOUN_CHUNK
nid,filed,fir,NOUN_CHUNK,NOUN_CHUNK
nakashima,reached,city,NOUN_CHUNK,NOUN_CHUNK
museum,bought,skull,NOUN_CHUNK,NOUN_CHUNK
police,investigating,damage,NOUN_CHUNK,NOUN_CHUNK
sort,poses,real threat,NOUN_CHUNK,NOUN_CHUNK
at least two,enjoyed,city level protection status,CARDINAL,NOUN_CHUNK
staff,say,money,NOUN_CHUNK,NOUN_CHUNK
humphries,stolen,artwork,NOUN_CHUNK,NOUN_CHUNK
art student romany fairall,had,artwork,NOUN_CHUNK,NOUN_CHUNK
art student romany fairall,had,artwork,NOUN_CHUNK,NOUN_CHUNK
incident,give,rise,NOUN_CHUNK,NOUN_CHUNK
museum employee,reported,video,NOUN_CHUNK,NOUN_CHUNK
collection,comprises,superlative examples,NOUN_CHUNK,NOUN_CHUNK
antiquities minister khaled anany,ordered,investigations,NOUN_CHUNK,NOUN_CHUNK
commerce sites,prohibited,sale,NOUN_CHUNK,NOUN_CHUNK
virginia holocaust museum,seeking,oral testimonies,NOUN_CHUNK,NOUN_CHUNK
stolen items,include,distinctive turquoise persian plate,NOUN_CHUNK,NOUN_CHUNK
gerald garrett,facing,one count,PERSON,CARDINAL
gerald garrett,spend,five years,PERSON,DATE
james,estimates,value,PERSON,NOUN_CHUNK
pablos,wants,piece,NOUN_CHUNK,NOUN_CHUNK
antiquities department,identified,important cypriot antiquity,NOUN_CHUNK,NOUN_CHUNK
amateur divers,discovered,long lost wrecks,NOUN_CHUNK,NOUN_CHUNK
indonesian foreign ministry spokesman armanatha nassir,rule out,possible arrangements,NOUN_CHUNK,NOUN_CHUNK
3 several paintings,have,estimated value,CARDINAL,NOUN_CHUNK
police,found,police,NOUN_CHUNK,NOUN_CHUNK
special team,seized,35 sovereigns,NOUN_CHUNK,CARDINAL
mareeswaran,pledged,gold,NOUN_CHUNK,NOUN_CHUNK
shattered ruins,say,different things,NOUN_CHUNK,NOUN_CHUNK
recommended reading,see,10 record breaking lots,NOUN_CHUNK,NOUN_CHUNK
2016 parish,purchased,work,DATE,NOUN_CHUNK
sumida hokusai museum,feature,hokusai woodblock prints,NOUN_CHUNK,NOUN_CHUNK
passage,requires,permits,NOUN_CHUNK,NOUN_CHUNK
federal authorization,requires,compliance,NOUN_CHUNK,NOUN_CHUNK
expansion,destroying,ancient archaeological sites,NOUN_CHUNK,NOUN_CHUNK
stand,inspired,protests,NOUN_CHUNK,NOUN_CHUNK
pipeline,harm,site,NOUN_CHUNK,NOUN_CHUNK
nhpa,guarantee,preservation,NOUN_CHUNK,NOUN_CHUNK
native americans,had,little input,NOUN_CHUNK,NOUN_CHUNK
archaeologists,search out,buried villages,NOUN_CHUNK,NOUN_CHUNK
standing rock representatives,showed,u.s,NOUN_CHUNK,GPE
army corps,staff,important cultural resources,NOUN_CHUNK,NOUN_CHUNK
hopi elder harold polingyumptewa,digs up,"s{\""o}{\""o}y{\""o}pi root",NOUN_CHUNK,NOUN_CHUNK
items,include,turquoise persian plate,NOUN_CHUNK,NOUN_CHUNK
graffiti vandal,proving,scourge,NOUN_CHUNK,NOUN_CHUNK
china,work,china collectors,GPE,NOUN_CHUNK
overseas u.s collectors,turned,collection,NOUN_CHUNK,NOUN_CHUNK
mr cornish,spent,13 years,NOUN_CHUNK,DATE
work,involved,nostalgic pictures,NOUN_CHUNK,NOUN_CHUNK
degenerate art unit,investigates,nazis campaign,NOUN_CHUNK,NOUN_CHUNK
berlin research unit,publishes,research,NOUN_CHUNK,NOUN_CHUNK
art,included,challenging counter - narrative,NOUN_CHUNK,NOUN_CHUNK
mr,led,ceremony,NOUN_CHUNK,NOUN_CHUNK
gallery co - director tuva trondsdatter,told,artnet news,NOUN_CHUNK,NOUN_CHUNK
instagram posts,include,post,NOUN_CHUNK,NOUN_CHUNK
sonic youth leader gordon,included,authorship information,NOUN_CHUNK,NOUN_CHUNK
gallery,published,book,NOUN_CHUNK,NOUN_CHUNK
mcnatt complaint,outlines,number,NOUN_CHUNK,NOUN_CHUNK
boone,denied,claims,NOUN_CHUNK,NOUN_CHUNK
harry potter fans,defaced,"4,000-year old megalithic tomb",NOUN_CHUNK,NOUN_CHUNK
thief,nabbed,four original canvas paintings,NOUN_CHUNK,CARDINAL
safeguarding endangered cultural heritage conference,brings,more than 40 countries,NOUN_CHUNK,CARDINAL
gweagal shield,bares,single conspicuous hole,NOUN_CHUNK,NOUN_CHUNK
kelly,has,different perspective,NOUN_CHUNK,NOUN_CHUNK
prosecutors,filed,investigations,NOUN_CHUNK,NOUN_CHUNK
legal aspects unesco,adopted,convention,NOUN_CHUNK,NOUN_CHUNK
india,had,india,GPE,GPE
states,having,proposed laws,NOUN_CHUNK,NOUN_CHUNK
central government,proposed,national commission,NOUN_CHUNK,NOUN_CHUNK
senior representatives,held,local meeting,NOUN_CHUNK,NOUN_CHUNK
hue city,move,abandoned sculptures,NOUN_CHUNK,NOUN_CHUNK
thuy tien tourist resort,installed at,operations,PERSON,NOUN_CHUNK
hue city department,post,information,NOUN_CHUNK,NOUN_CHUNK
husband,sold,husband wife fakes,NOUN_CHUNK,NOUN_CHUNK
lee ufan forgery scandal,rocked,south korean art scene,NOUN_CHUNK,NOUN_CHUNK
epic,depicts,key events,NOUN_CHUNK,NOUN_CHUNK
conservators,criticised,plans,NOUN_CHUNK,NOUN_CHUNK
nazis,rolled up,prague,NOUN_CHUNK,NOUN_CHUNK
present political body,paying,attention,NOUN_CHUNK,NOUN_CHUNK
spanish tourists,alerted,local police,NOUN_CHUNK,NOUN_CHUNK
bernini elephant,hurts,romans,NOUN_CHUNK,NOUN_CHUNK
museum,disputed,attribution,NOUN_CHUNK,NOUN_CHUNK
works,have,consistent style,NOUN_CHUNK,NOUN_CHUNK
"3,000-year old bronze wine vessel",drew,large number,NOUN_CHUNK,NOUN_CHUNK
workers,inspect,fanglei,NOUN_CHUNK,NOUN_CHUNK
group,acquired,bronze,NOUN_CHUNK,NOUN_CHUNK
the past five years,seen,increase,DATE,NOUN_CHUNK
the 12th century baijnath temples,baijnath,tourists,DATE,NOUN_CHUNK
police,solved,bizarre love triangle art heist,NOUN_CHUNK,NOUN_CHUNK
new york collector nicholas,kept,art,NOUN_CHUNK,NOUN_CHUNK
artwork,included,work,NOUN_CHUNK,NOUN_CHUNK
colleagues,tavcar,couple,NOUN_CHUNK,NOUN_CHUNK
officers,followed,couple,NOUN_CHUNK,NOUN_CHUNK
christopher griffin local projects,include,murals,NOUN_CHUNK,NOUN_CHUNK
sunni islamist group,controls,remains,NOUN_CHUNK,NOUN_CHUNK
militants,destroyed,10 colossal statues,NOUN_CHUNK,CARDINAL
experiences,formed,background,NOUN_CHUNK,NOUN_CHUNK
collombert,traced,collombert origin,NOUN_CHUNK,NOUN_CHUNK
subsequent footage,showed,massive explosion,NOUN_CHUNK,NOUN_CHUNK
iraqi workers,mop,floor,NOUN_CHUNK,NOUN_CHUNK
huge defensive mud brick wall vast palaces,drawn,archaeologists,NOUN_CHUNK,NOUN_CHUNK
archaeologists,unearthed,collection,NOUN_CHUNK,NOUN_CHUNK
experts,described,treasure,NOUN_CHUNK,NOUN_CHUNK
main branch,boasts,"more than 655,000 chinese artefacts",NOUN_CHUNK,CARDINAL
israeli authorities,reported,arson,NOUN_CHUNK,NOUN_CHUNK
fire,caused,archaeological damage,NOUN_CHUNK,NOUN_CHUNK
national park,surrounds,old city,NOUN_CHUNK,NOUN_CHUNK
today artwork,ripped off,wall,DATE,NOUN_CHUNK
foreign affairs ministry,informed,audit service,NOUN_CHUNK,NOUN_CHUNK
park,created,pieces,NOUN_CHUNK,NOUN_CHUNK
members,adeyemi,courtesy visit,NOUN_CHUNK,NOUN_CHUNK
abel azcona,stole,more than 240 consecrated hosts,NOUN_CHUNK,CARDINAL
judge,closed,case,NOUN_CHUNK,NOUN_CHUNK
judge,described,consecrated stolen hosts,NOUN_CHUNK,NOUN_CHUNK
exeter,had,crew,NOUN_CHUNK,NOUN_CHUNK
destroyer,fired,torpedo,NOUN_CHUNK,NOUN_CHUNK
scavengers,located,wrecks,NOUN_CHUNK,NOUN_CHUNK
recreational diving school,told,new straits,NOUN_CHUNK,NOUN_CHUNK
villager,saw,body,NOUN_CHUNK,NOUN_CHUNK
visitor,takes,picture,NOUN_CHUNK,NOUN_CHUNK
visitor,takes,picture,NOUN_CHUNK,NOUN_CHUNK
people,received,answer,NOUN_CHUNK,NOUN_CHUNK
court,accepted,case,NOUN_CHUNK,NOUN_CHUNK
defendants,submit,responding files,NOUN_CHUNK,NOUN_CHUNK
family,claim,statue,NOUN_CHUNK,NOUN_CHUNK
ubc museum,includes,artworks,NOUN_CHUNK,NOUN_CHUNK
approach,serves,purpose,NOUN_CHUNK,NOUN_CHUNK
art history lovers,have,access,NOUN_CHUNK,NOUN_CHUNK
comedic geniuses,spike,fry,NOUN_CHUNK,NOUN_CHUNK
young,joined,diplomatic ranks,NOUN_CHUNK,NOUN_CHUNK
elgin,married,second wife,NOUN_CHUNK,NOUN_CHUNK
european agency,made,ukrainian prosecutor,NOUN_CHUNK,NOUN_CHUNK
incident,took,place,NOUN_CHUNK,NOUN_CHUNK
canadian art historian,bogomila,welsh ovcharov vincent van gogh,NORP,NOUN_CHUNK
welsh ovcharov,told,cbc news,NOUN_CHUNK,NOUN_CHUNK
van gogh,shot,van gogh,NOUN_CHUNK,NOUN_CHUNK
welsh ovcharov,provides,detailed analysis,NOUN_CHUNK,NOUN_CHUNK
15 november 2016 response,found,sketchbook,DATE,NOUN_CHUNK
experts,gave,opinion,NOUN_CHUNK,NOUN_CHUNK
experts,examined,style,NOUN_CHUNK,NOUN_CHUNK
drawing,shows,bridgeman house,NOUN_CHUNK,NOUN_CHUNK
lost arles sketchbook,contains,numerous mistakes,NOUN_CHUNK,NOUN_CHUNK
ginouxs,own,single van gogh drawing,NOUN_CHUNK,NOUN_CHUNK
van gogh museum,included in,information,NOUN_CHUNK,NOUN_CHUNK
senior source,reported,significant advances,NOUN_CHUNK,NOUN_CHUNK
mumbai couple dinesh,expanded,manifold,GPE,NOUN_CHUNK
professionals,starting,professionals,NOUN_CHUNK,NOUN_CHUNK
louvre museum,host,heritage artifacts,NOUN_CHUNK,NOUN_CHUNK
association,highlights,risks,NOUN_CHUNK,NOUN_CHUNK
association,provides,daily updates,NOUN_CHUNK,DATE
one project,conducts,regular assessments,CARDINAL,NOUN_CHUNK
ali othman,told,al monitor,PERSON,NOUN_CHUNK
un cultural body,described,act,NOUN_CHUNK,NOUN_CHUNK
search,uncovered,"1,145 clay pots",NOUN_CHUNK,CARDINAL
authorities,found,22 copper coins,NOUN_CHUNK,CARDINAL
question,protected as,attention,NOUN_CHUNK,NOUN_CHUNK
secretary,visited,moon house,NOUN_CHUNK,NOUN_CHUNK
anasazi,built,small villages,NOUN_CHUNK,NOUN_CHUNK
police,issued,number,NOUN_CHUNK,NOUN_CHUNK
police,located,22 bronze coins,NOUN_CHUNK,CARDINAL
